Latitude; Longitude 
-22.92099487585689;-46.633308
-22.921090302464716;-46.621379655731516
-22.921376553623478;-46.609454894043836
-22.921853543347318;-46.59753729648625
-22.922521128354024;-46.58563044254517
-22.923379108106335;-46.573737908613346
-22.924427224869778;-46.561863266959854
-22.925665163786963;-46.55001008470096
-22.927092552968425;-46.53818192277229
-22.92870896359985;-46.526382334902536
-22.93051391006578;-46.51461486658877
-22.9325068500897;-46.502883054073855
-22.934687184890496;-46.491190423326
-22.937054259355225;-46.47954048902085
-22.93960736222821;-46.467936753526224
-22.942345726316326;-46.45638270588993
-22.94526852871053;-46.44488182083068
-22.94837489102345;-46.433437557732525
-22.95166387964316;-46.42205335964298
-22.955134506002842;-46.41073265227513
-22.95878572686651;-46.39947884301389
-22.962616444630545;-46.388295319926755
-22.966625507641044;-46.377185450779216
-22.97081171052693;-46.3661525820551
-22.97517379454867;-46.35520003798211
-22.979710447962546;-46.34433111956282
-22.984420306400438;-46.33354910361127
-22.98930195326493;-46.32285724179553
-22.994353920139737;-46.31225875968642
-22.99957468721526;-46.30175685581263
-23.00496268372927;-46.29135470072241
-23.010516288422483;-46.28105543605231
-23.01623383000904;-46.27086217360289
-23.02211358766167;-46.260777994421915
-23.028153791511507;-46.25080594789505
-23.03435262316233;-46.240949050844584
-23.040708216219222;-46.231210286636035
-23.047218656831408;-46.2215926042933
-23.05388198424917;-46.21209891762221
-23.06069619139474;-46.202732104343006
-23.06765922544698;-46.19349500523183
-23.07476898843969;-46.184390423271495
-23.082023337873448;-46.1754211228118
-23.08942008734078;-46.166589828739596
-23.096957007164523;-46.15789922565887
-23.10463182504917;-46.149351957081024
-23.11244222674516;-46.140950624625624
-23.12038585672575;-46.132697787231905
-23.128460318876478;-46.12459596038109
-23.13666317719691;-46.116647615330024
-23.14499195651456;-46.108855178356
-23.153444143210788;-46.10122103001339
-23.162017185958458;-46.09374750440198
-23.17070849647118;-46.086436888447466
-23.179515450263978;-46.07929142119418
-23.188435387425105;-46.072313293110334
-23.19746561339888;-46.06550464540609
-23.206603399779294;-46.05886756936442
-23.215845985114218;-46.05240410568531
-23.225190575719918;-46.04611624384327
-23.23463434650577;-46.040005921458416
-23.24417444180888;-46.03407502368147
-23.253807976238388;-46.02832538259272
-23.263532035529302;-46.022758776615234
-23.273343677405503;-46.01737692994255
-23.283239932451846;-46.01218151198096
-23.293217804994963;-46.007174136806725
-23.30327427399268;-46.00235636263828
-23.313406293931667;-45.99772969132374
-23.323610795733174;-45.99329556784385
-23.33388468766656;-45.98905537983056
-23.344224856270387;-45.985010457101446
-23.354628167280797;-45.98116207121017
-23.365091466566938;-45.97751143501315
-23.37561158107315;-45.974059702252575
-23.38618531976771;-45.97080796715609
-23.396809474597795;-45.96775726405309
-23.407480821450417;-45.96490856700809
-23.418196121119138;-45.96226278947106
-23.42895212027611;-45.9598207839451
-23.439745552449416;-45.95758334167148
-23.450573139005137;-45.955551192332294
-23.46143159013418;-45.953725003770835
-23.472317605843287;-45.952105381729865
-23.483227876950174;-45.95069286960791
-23.49415908608234;-45.94948794823371
-23.5051079086794;-45.948491035659046
-23.51607101399849;-45.947702486969966
-23.527045066122618;-45.94712259411659
-23.53802672497154;-45.946751585761646
-23.5490126473149;-45.94658962714786
-23.559999487787366;-45.94663681998416
-23.570983899905407;-45.946893202351106
-23.581962537085438;-45.947358748625405
-23.59293205366301;-45.948033369423605
-23.603889105912778;-45.948916911565284
-23.614830353068854;-45.95000915805561
-23.62575245834535;-45.95130982808739
-23.636652089956677;-45.95281857706285
-23.647525922137394;-45.954534996635
-23.658370636161216;-45.95645861476869
-23.6691829213589;-45.958588895821705
-23.679959476134716;-45.9609252406454
-23.6906970089811;-45.96346698670556
-23.701392239491298;-45.96621340822295
-23.712041899369567;-45.96916371633405
-23.72264273343866;-45.97231705927167
-23.73319150064434;-45.9756725225657
-23.743684975056432;-45.97922912926382
-23.754119946866307;-45.98298584017232
-23.76449322338031;-45.98694155411704
-23.774801630008906;-45.99109510822418
-23.785042011251146;-45.99544527822139
-23.79521123167426;-45.999990778758644
-23.805306176887886;-46.0047302637493
-23.815323754512775;-46.009662326730975
-23.825260895143575;-46.01478550124639
-23.835114553305335;-46.020098261244065
