type	latitude	longitude	altitude (m)	distance (km)	name	desc	angle
W	-23.255636354	-47.257263481	562.4		Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.255767082	-47.257006793	563.8	0.030	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>30</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.255897810	-47.256750104	565.8	0.060	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>60</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.256028538	-47.256493416	567.3	0.090	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>90</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.256159265	-47.256236726	568.3	0.120	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>120</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.256289991	-47.255980036	569.0	0.150	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>150</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.256420718	-47.255723346	569.4	0.180	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>180</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.256551444	-47.255466655	569.5	0.210	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>210</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.256682169	-47.255209963	569.5	0.240	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>240</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.256812894	-47.254953271	569.7	0.270	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>270</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.256943619	-47.254696579	571.2	0.300	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>300</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.257074344	-47.254439886	572.6	0.330	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>330</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.257205068	-47.254183192	573.8	0.360	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>360</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.257335791	-47.253926498	576.2	0.390	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>390</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.257466515	-47.253669803	578.9	0.420	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>420</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.257597238	-47.253413108	581.9	0.450	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>450</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.257727960	-47.253156413	583.6	0.480	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>480</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.257858682	-47.252899716	584.3	0.510	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>510</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.257989404	-47.252643020	584.7	0.540	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>540</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.258120125	-47.252386322	583.7	0.570	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>570</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.258250846	-47.252129624	581.5	0.600	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>600</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.258381567	-47.251872926	579.2	0.630	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>630</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.258512287	-47.251616227	577.6	0.660	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>660</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.258643007	-47.251359528	577.0	0.690	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>690</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.258773726	-47.251102828	575.9	0.720	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>720</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.258904445	-47.250846127	574.2	0.750	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>750</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.259035164	-47.250589426	573.6	0.780	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>780</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.259165882	-47.250332725	573.2	0.810	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>810</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.259296600	-47.250076023	573.8	0.840	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>840</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.259427318	-47.249819320	574.7	0.870	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>870</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.259558035	-47.249562617	575.4	0.900	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>900</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.259688752	-47.249305913	575.9	0.930	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>930</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.259819468	-47.249049209	576.4	0.960	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>960</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
W	-23.259950184	-47.248792505	576.9	0.990	Line 299	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>990</td></tr><tr><td><b>angle</b></td><td>117.971578302293</td></tr></table>	117.971578302293
