latitude;longitude;altitude (m);distance_m;name;obstrucao;angle 
-24.126094225;-46.35158697;0.0;69960;Line 154;0;333.035431165843
-24.125851601;-46.35171827;0.0;69930;Line 154;0;333.035431165843
-24.125608977;-46.351849569;0.0;69900;Line 154;0;333.035431165843
-24.125366353;-46.351980867;0.0;69870;Line 154;0;333.035431165843
-24.125123729;-46.352112165;0.0;69840;Line 154;0;333.035431165843
-24.124881104;-46.352243463;0.0;69810;Line 154;0;333.035431165843
-24.12463848;-46.35237476;0.0;69780;Line 154;0;333.035431165843
-24.124395855;-46.352506056;0.0;69750;Line 154;0;333.035431165843
-24.12415323;-46.352637352;0.0;69720;Line 154;0;333.035431165843
-24.123910606;-46.352768648;0.0;69690;Line 154;0;333.035431165843
-24.123667981;-46.352899943;0.0;69660;Line 154;0;333.035431165843
-24.123425356;-46.353031238;0.0;69630;Line 154;0;333.035431165843
-24.123182731;-46.353162532;0.0;69600;Line 154;0;333.035431165843
-24.122940106;-46.353293825;0.0;69570;Line 154;0;333.035431165843
-24.12269748;-46.353425119;0.0;69540;Line 154;0;333.035431165843
-24.122454855;-46.353556411;0.0;69510;Line 154;0;333.035431165843
-24.122212229;-46.353687704;0.0;69480;Line 154;0;333.035431165843
-24.121969604;-46.353818995;0.0;69450;Line 154;0;333.035431165843
-24.121726978;-46.353950287;0.0;69420;Line 154;0;333.035431165843
-24.121484352;-46.354081578;0.0;69390;Line 154;0;333.035431165843
-24.121241726;-46.354212868;0.0;69360;Line 154;0;333.035431165843
-24.1209991;-46.354344158;0.0;69330;Line 154;0;333.035431165843
-24.120756474;-46.354475447;0.0;69300;Line 154;0;333.035431165843
-24.120513848;-46.354606736;0.0;69270;Line 154;0;333.035431165843
-24.120271222;-46.354738025;0.0;69240;Line 154;0;333.035431165843
-24.120028596;-46.354869313;0.0;69210;Line 154;0;333.035431165843
-24.119785969;-46.3550006;0.0;69180;Line 154;0;333.035431165843
-24.119543343;-46.355131887;0.0;69150;Line 154;0;333.035431165843
-24.119300716;-46.355263174;0.0;69120;Line 154;0;333.035431165843
-24.119058089;-46.35539446;0.0;69090;Line 154;0;333.035431165843
-24.118815462;-46.355525745;0.0;69060;Line 154;0;333.035431165843
-24.118572835;-46.35565703;0.0;69030;Line 154;0;333.035431165843
-24.118330208;-46.355788315;0.0;69000;Line 154;0;333.035431165843
-24.118087581;-46.355919599;0.0;68970;Line 154;0;333.035431165843
