latitude;longitude;altitude (m);distance_m;name;obstrucao;angle
-23.27513009;-47.268432176;558.9;69960;Line 297;0;115.972334599202
-23.275252485;-47.268170684;559.5;69930;Line 297;0;115.972334599202
-23.27537488;-47.267909191;560.0;69900;Line 297;0;115.972334599202
-23.275497274;-47.267647699;560.4;69870;Line 297;0;115.972334599202
-23.275619668;-47.267386205;561.0;69840;Line 297;0;115.972334599202
-23.275742061;-47.267124711;562.0;69810;Line 297;0;115.972334599202
-23.275864454;-47.266863217;563.4;69780;Line 297;0;115.972334599202
-23.275986847;-47.266601722;565.0;69750;Line 297;0;115.972334599202
-23.276109239;-47.266340226;566.2;69720;Line 297;0;115.972334599202
-23.276231631;-47.26607873;567.7;69690;Line 297;0;115.972334599202
-23.276354023;-47.265817234;569.6;69660;Line 297;0;115.972334599202
-23.276476414;-47.265555737;570.1;69630;Line 297;0;115.972334599202
-23.276598804;-47.265294239;570.0;69600;Line 297;0;115.972334599202
-23.276721195;-47.265032741;569.0;69570;Line 297;0;115.972334599202
-23.276843584;-47.264771243;568.6;69540;Line 297;0;115.972334599202
-23.276965974;-47.264509744;568.0;69510;Line 297;0;115.972334599202
-23.277088363;-47.264248244;567.1;69480;Line 297;0;115.972334599202
-23.277210752;-47.263986744;566.7;69450;Line 297;0;115.972334599202
-23.27733314;-47.263725243;566.3;69420;Line 297;0;115.972334599202
-23.277455528;-47.263463742;565.4;69390;Line 297;0;115.972334599202
-23.277577915;-47.263202241;566.6;69360;Line 297;0;115.972334599202
-23.277700302;-47.262940739;569.2;69330;Line 297;0;115.972334599202
-23.277822689;-47.262679236;571.1;69300;Line 297;0;115.972334599202
-23.277945075;-47.262417733;572.7;69270;Line 297;0;115.972334599202
-23.278067461;-47.262156229;574.0;69240;Line 297;0;115.972334599202
-23.278189847;-47.261894725;574.7;69210;Line 297;0;115.972334599202
-23.278312232;-47.261633221;575.0;69180;Line 297;0;115.972334599202
-23.278434616;-47.261371715;578.9;69150;Line 297;0;115.972334599202
-23.278557001;-47.26111021;582.5;69120;Line 297;0;115.972334599202
-23.278679384;-47.260848704;585.6;69090;Line 297;0;115.972334599202
-23.278801768;-47.260587197;588.8;69060;Line 297;0;115.972334599202
-23.278924151;-47.26032569;592.0;69030;Line 297;0;115.972334599202
-23.279046534;-47.260064182;595.3;69000;Line 297;0;115.972334599202
-23.279168916;-47.259802674;596.2;68970;Line 297;0;115.972334599202
-23.279291298;-47.259541165;596.5;68940;Line 297;0;115.972334599202
-23.279413679;-47.259279656;596.7;68910;Line 297;0;115.972334599202
-23.27953606;-47.259018146;595.7;68880;Line 297;0;115.972334599202
-23.279658441;-47.258756636;594.2;68850;Line 297;0;115.972334599202
-23.279780821;-47.258495125;593.1;68820;Line 297;0;115.972334599202
-23.279903201;-47.258233614;593.1;68790;Line 297;0;115.972334599202
-23.28002558;-47.257972102;593.9;68760;Line 297;0;115.972334599202
-23.280147959;-47.25771059;594.0;68730;Line 297;0;115.972334599202
-23.280270338;-47.257449077;593.6;68700;Line 297;0;115.972334599202
-23.280392716;-47.257187564;592.7;68670;Line 297;0;115.972334599202
-23.280515094;-47.25692605;592.2;68640;Line 297;0;115.972334599202
-23.280637472;-47.256664536;591.9;68610;Line 297;0;115.972334599202
-23.280759849;-47.256403021;591.7;68580;Line 297;0;115.972334599202
-23.280882225;-47.256141506;591.9;68550;Line 297;0;115.972334599202
-23.281004602;-47.25587999;593.2;68520;Line 297;0;115.972334599202
-23.281126977;-47.255618474;596.4;68490;Line 297;0;115.972334599202
-23.281249353;-47.255356957;599.7;68460;Line 297;0;115.972334599202
-23.281371728;-47.25509544;602.9;68430;Line 297;0;115.972334599202
-23.281494103;-47.254833922;606.0;68400;Line 297;0;115.972334599202
-23.281616477;-47.254572403;609.5;68370;Line 297;0;115.972334599202
-23.281738851;-47.254310884;613.0;68340;Line 297;0;115.972334599202
-23.281861224;-47.254049365;614.7;68310;Line 297;0;115.972334599202
-23.281983597;-47.253787845;614.8;68280;Line 297;0;115.972334599202
-23.28210597;-47.253526325;614.7;68250;Line 297;0;115.972334599202
-23.282228342;-47.253264804;614.3;68220;Line 297;0;115.972334599202
-23.282350714;-47.253003283;613.8;68190;Line 297;0;115.972334599202
-23.282473085;-47.252741761;613.7;68160;Line 297;0;115.972334599202
-23.282595456;-47.252480238;614.4;68130;Line 297;0;115.972334599202
-23.282717827;-47.252218715;613.9;68100;Line 297;0;115.972334599202
-23.282840197;-47.251957192;613.6;68070;Line 297;0;115.972334599202
-23.282962567;-47.251695668;613.4;68040;Line 297;0;115.972334599202
-23.283084936;-47.251434143;612.0;68010;Line 297;0;115.972334599202
-23.283207305;-47.251172618;610.0;67980;Line 297;0;115.972334599202
-23.283329674;-47.250911093;607.8;67950;Line 297;0;115.972334599202
-23.283452042;-47.250649567;605.7;67920;Line 297;0;115.972334599202
-23.28357441;-47.250388041;603.7;67890;Line 297;0;115.972334599202
-23.283696778;-47.250126514;601.9;67860;Line 297;0;115.972334599202
-23.283819145;-47.249864986;600.6;67830;Line 297;0;115.972334599202
-23.283941511;-47.249603458;599.6;67800;Line 297;0;115.972334599202
-23.284063877;-47.249341929;598.6;67770;Line 297;0;115.972334599202
-23.284186243;-47.2490804;597.1;67740;Line 297;0;115.972334599202
-23.284308609;-47.248818871;595.3;67710;Line 297;0;115.972334599202
-23.284430974;-47.248557341;593.8;67680;Line 297;0;115.972334599202
-23.284553338;-47.24829581;592.9;67650;Line 297;0;115.972334599202
-23.284675703;-47.248034279;592.8;67620;Line 297;0;115.972334599202
-23.284798066;-47.247772748;592.8;67590;Line 297;0;115.972334599202
-23.28492043;-47.247511216;592.9;67560;Line 297;0;115.972334599202
-23.285042793;-47.247249683;597.9;67530;Line 297;0;115.972334599202
-23.285165155;-47.24698815;603.6;67500;Line 297;0;115.972334599202
-23.285287518;-47.246726616;609.4;67470;Line 297;0;115.972334599202
-23.285409879;-47.246465082;613.5;67440;Line 297;0;115.972334599202
-23.285532241;-47.246203548;617.0;67410;Line 297;0;115.972334599202
-23.285654602;-47.245942012;620.6;67380;Line 297;0;115.972334599202
-23.285776962;-47.245680477;622.3;67350;Line 297;0;115.972334599202
-23.285899323;-47.245418941;621.9;67320;Line 297;0;115.972334599202
-23.286021682;-47.245157404;620.5;67290;Line 297;0;115.972334599202
-23.286144042;-47.244895867;620.6;67260;Line 297;0;115.972334599202
-23.286266401;-47.244634329;623.8;67230;Line 297;0;115.972334599202
-23.286388759;-47.244372791;627.6;67200;Line 297;0;115.972334599202
-23.286511118;-47.244111252;632.0;67170;Line 297;0;115.972334599202
-23.286633475;-47.243849713;636.9;67140;Line 297;0;115.972334599202
-23.286755833;-47.243588173;641.7;67110;Line 297;0;115.972334599202
-23.28687819;-47.243326633;646.3;67080;Line 297;0;115.972334599202
-23.287000546;-47.243065093;649.4;67050;Line 297;0;115.972334599202
-23.287122903;-47.242803551;652.3;67020;Line 297;0;115.972334599202
-23.287245258;-47.24254201;655.2;66990;Line 297;0;115.972334599202
-23.287367614;-47.242280467;657.0;66960;Line 297;0;115.972334599202
-23.287489969;-47.242018925;658.8;66930;Line 297;0;115.972334599202
-23.287612323;-47.241757381;661.3;66900;Line 297;0;115.972334599202
-23.287734678;-47.241495838;662.6;66870;Line 297;0;115.972334599202
-23.287857031;-47.241234293;663.2;66840;Line 297;0;115.972334599202
-23.287979385;-47.240972749;663.7;66810;Line 297;0;115.972334599202
-23.288101738;-47.240711203;664.4;66780;Line 297;0;115.972334599202
-23.28822409;-47.240449657;665.5;66750;Line 297;0;115.972334599202
-23.288346443;-47.240188111;666.0;66720;Line 297;0;115.972334599202
-23.288468794;-47.239926564;665.1;66690;Line 297;0;115.972334599202
-23.288591146;-47.239665017;663.0;66660;Line 297;0;115.972334599202
-23.288713497;-47.239403469;659.7;66630;Line 297;0;115.972334599202
-23.288835847;-47.239141921;655.1;66600;Line 297;0;115.972334599202
-23.288958197;-47.238880372;648.5;66570;Line 297;0;115.972334599202
-23.289080547;-47.238618823;642.2;66540;Line 297;0;115.972334599202
-23.289202897;-47.238357273;636.5;66510;Line 297;0;115.972334599202
-23.289325246;-47.238095722;629.5;66480;Line 297;0;115.972334599202
-23.289447594;-47.237834171;622.9;66450;Line 297;0;115.972334599202
-23.289569942;-47.23757262;617.2;66420;Line 297;0;115.972334599202
-23.28969229;-47.237311068;613.3;66390;Line 297;0;115.972334599202
-23.289814637;-47.237049516;610.1;66360;Line 297;0;115.972334599202
-23.289936984;-47.236787963;607.2;66330;Line 297;0;115.972334599202
-23.290059331;-47.236526409;608.1;66300;Line 297;0;115.972334599202
-23.290181677;-47.236264856;612.0;66270;Line 297;0;115.972334599202
-23.290304023;-47.236003301;615.6;66240;Line 297;0;115.972334599202
-23.290426368;-47.235741746;620.1;66210;Line 297;0;115.972334599202
-23.290548713;-47.235480191;626.4;66180;Line 297;0;115.972334599202
-23.290671058;-47.235218635;632.0;66150;Line 297;0;115.972334599202
-23.290793402;-47.234957078;637.5;66120;Line 297;0;115.972334599202
-23.290915746;-47.234695521;646.5;66090;Line 297;0;115.972334599202
-23.291038089;-47.234433964;656.0;66060;Line 297;0;115.972334599202
-23.291160432;-47.234172406;665.7;66030;Line 297;0;115.972334599202
-23.291282775;-47.233910847;674.7;66000;Line 297;0;115.972334599202
-23.291405117;-47.233649288;683.5;65970;Line 297;0;115.972334599202
-23.291527458;-47.233387729;692.0;65940;Line 297;0;115.972334599202
-23.2916498;-47.233126169;695.4;65910;Line 297;0;115.972334599202
-23.291772141;-47.232864608;697.2;65880;Line 297;0;115.972334599202
-23.291894481;-47.232603047;699.7;65850;Line 297;0;115.972334599202
-23.292016821;-47.232341486;702.3;65820;Line 297;0;115.972334599202
-23.292139161;-47.232079924;704.4;65790;Line 297;0;115.972334599202
-23.2922615;-47.231818361;706.4;65760;Line 297;0;115.972334599202
-23.292383839;-47.231556798;709.5;65730;Line 297;0;115.972334599202
-23.292506178;-47.231295234;713.7;65700;Line 297;0;115.972334599202
-23.292628516;-47.23103367;716.2;65670;Line 297;0;115.972334599202
-23.292750854;-47.230772106;717.5;65640;Line 297;0;115.972334599202
-23.292873191;-47.230510541;716.1;65610;Line 297;0;115.972334599202
-23.292995528;-47.230248975;714.3;65580;Line 297;0;115.972334599202
-23.293117865;-47.229987409;712.1;65550;Line 297;0;115.972334599202
-23.293240201;-47.229725842;709.7;65520;Line 297;0;115.972334599202
-23.293362536;-47.229464275;707.3;65490;Line 297;0;115.972334599202
-23.293484872;-47.229202707;704.1;65460;Line 297;0;115.972334599202
-23.293607207;-47.228941139;698.1;65430;Line 297;0;115.972334599202
-23.293729541;-47.228679571;692.0;65400;Line 297;0;115.972334599202
-23.293851875;-47.228418001;686.1;65370;Line 297;0;115.972334599202
-23.293974209;-47.228156432;680.0;65340;Line 297;0;115.972334599202
-23.294096542;-47.227894861;674.8;65310;Line 297;0;115.972334599202
-23.294218875;-47.227633291;670.9;65280;Line 297;0;115.972334599202
-23.294341208;-47.22737172;671.2;65250;Line 297;0;115.972334599202
-23.29446354;-47.227110148;675.4;65220;Line 297;0;115.972334599202
-23.294585872;-47.226848576;680.0;65190;Line 297;0;115.972334599202
-23.294708203;-47.226587003;684.4;65160;Line 297;0;115.972334599202
-23.294830534;-47.22632543;688.5;65130;Line 297;0;115.972334599202
-23.294952864;-47.226063856;692.9;65100;Line 297;0;115.972334599202
-23.295075194;-47.225802282;696.6;65070;Line 297;0;115.972334599202
-23.295197524;-47.225540707;695.6;65040;Line 297;0;115.972334599202
-23.295319853;-47.225279132;694.2;65010;Line 297;0;115.972334599202
-23.295442182;-47.225017556;692.4;64980;Line 297;0;115.972334599202
