latitude;longitude;altitude (m);distance_m;alt_x;alt_y;name;obstrucao;angle 
-23.423355856;-45.987827552;612.2;69960;368.5799999999999;981.78;Line 78;0;257.007576047476
-23.423414961;-45.988114104;614.3;69930;368.4219468267581;981.6219468267582;Line 78;0;257.007576047476
-23.423474066;-45.988400656;615.4;69900;368.2638936535162;981.4638936535163;Line 78;0;257.007576047476
-23.42353317;-45.988687208;612.3;69870;368.10584048027437;981.3058404802744;Line 78;0;257.007576047476
-23.423592274;-45.98897376;609.0;69840;367.9477873070325;981.1477873070326;Line 78;0;257.007576047476
-23.423651377;-45.989260313;606.2;69810;367.78973413379066;980.9897341337908;Line 78;0;257.007576047476
-23.42371048;-45.989546866;604.8;69780;367.6316809605488;980.8316809605489;Line 78;0;257.007576047476
-23.423769582;-45.989833419;603.4;69750;367.47362778730695;980.6736277873069;Line 78;0;257.007576047476
-23.423828683;-45.990119972;604.4;69720;367.3155746140651;980.5155746140651;Line 78;0;257.007576047476
-23.423887785;-45.990406525;608.5;69690;367.15752144082325;980.3575214408233;Line 78;0;257.007576047476
-23.423946885;-45.990693079;612.8;69660;366.9994682675814;980.1994682675814;Line 78;0;257.007576047476
-23.424005985;-45.990979633;615.6;69630;366.84141509433954;980.0414150943395;Line 78;0;257.007576047476
-23.424065084;-45.991266187;616.9;69600;366.68336192109774;979.8833619210977;Line 78;0;257.007576047476
-23.424124183;-45.991552741;618.1;69570;366.52530874785583;979.7253087478559;Line 78;0;257.007576047476
-23.424183282;-45.991839296;615.3;69540;366.367255574614;979.567255574614;Line 78;0;257.007576047476
-23.42424238;-45.992125851;609.7;69510;366.2092024013721;979.4092024013721;Line 78;0;257.007576047476
-23.424301477;-45.992412406;604.8;69480;366.05114922813027;979.2511492281303;Line 78;0;257.007576047476
-23.424360574;-45.992698961;607.8;69450;365.8930960548885;979.0930960548885;Line 78;0;257.007576047476
-23.42441967;-45.992985517;614.3;69420;365.73504288164656;978.9350428816466;Line 78;0;257.007576047476
-23.424478766;-45.993272073;621.3;69390;365.57698970840477;978.7769897084048;Line 78;0;257.007576047476
-23.424537861;-45.993558629;630.0;69360;365.41893653516286;978.6189365351629;Line 78;0;257.007576047476
-23.424596955;-45.993845185;639.2;69330;365.260883361921;978.4608833619211;Line 78;0;257.007576047476
-23.424656049;-45.994131742;648.4;69300;365.1028301886792;978.3028301886793;Line 78;0;257.007576047476
-23.424715143;-45.994418298;649.4;69270;364.9447770154373;978.1447770154373;Line 78;0;257.007576047476
-23.424774236;-45.994704855;648.4;69240;364.7867238421955;977.9867238421955;Line 78;0;257.007576047476
-23.424833329;-45.994991413;646.5;69210;364.6286706689536;977.8286706689537;Line 78;0;257.007576047476
-23.42489242;-45.99527797;639.7;69180;364.47061749571174;977.6706174957118;Line 78;0;257.007576047476
-23.424951512;-45.995564528;632.7;69150;364.31256432246994;977.51256432247;Line 78;0;257.007576047476
-23.425010603;-45.995851086;625.9;69120;364.15451114922803;977.3545111492281;Line 78;0;257.007576047476
-23.425069693;-45.996137644;622.7;69090;363.99645797598623;977.1964579759863;Line 78;0;257.007576047476
-23.425128783;-45.996424202;619.6;69060;363.8384048027443;977.0384048027444;Line 78;0;257.007576047476
-23.425187872;-45.996710761;618.1;69030;363.6803516295025;976.8803516295026;Line 78;0;257.007576047476
-23.425246961;-45.99699732;624.0;69000;363.52229845626067;976.7222984562607;Line 78;0;257.007576047476
-23.425306049;-45.997283879;629.6;68970;363.36424528301876;976.5642452830189;Line 78;0;257.007576047476
-23.425365137;-45.997570438;634.2;68940;363.20619210977696;976.4061921097771;Line 78;0;257.007576047476
-23.425424224;-45.997856998;637.6;68910;363.04813893653505;976.248138936535;Line 78;0;257.007576047476
-23.425483311;-45.998143558;641.1;68880;362.89008576329326;976.0900857632932;Line 78;0;257.007576047476
-23.425542397;-45.998430118;642.1;68850;362.7320325900514;975.9320325900514;Line 78;0;257.007576047476
-23.425601482;-45.998716678;638.2;68820;362.5739794168095;975.7739794168095;Line 78;0;257.007576047476
-23.425660567;-45.999003238;634.5;68790;362.4159262435677;975.6159262435677;Line 78;0;257.007576047476
-23.425719652;-45.999289799;631.6;68760;362.2578730703258;975.4578730703258;Line 78;0;257.007576047476
-23.425778736;-45.99957636;629.7;68730;362.099819897084;975.299819897084;Line 78;0;257.007576047476
-23.425837819;-45.999862921;628.2;68700;361.94176672384214;975.1417667238422;Line 78;0;257.007576047476
-23.425896902;-46.000149483;627.7;68670;361.7837135506003;974.9837135506003;Line 78;0;257.007576047476
-23.425955984;-46.000436045;627.3;68640;361.62566037735843;974.8256603773584;Line 78;0;257.007576047476
-23.426015066;-46.000722606;626.2;68610;361.4676072041165;974.6676072041166;Line 78;0;257.007576047476
-23.426074147;-46.001009169;620.9;68580;361.3095540308747;974.5095540308748;Line 78;0;257.007576047476
-23.426133228;-46.001295731;613.2;68550;361.15150085763287;974.3515008576329;Line 78;0;257.007576047476
-23.426192308;-46.001582294;605.5;68520;360.993447684391;974.193447684391;Line 78;0;257.007576047476
-23.426251388;-46.001868857;603.2;68490;360.83539451114916;974.0353945111492;Line 78;0;257.007576047476
-23.426310467;-46.00215542;603.0;68460;360.6773413379073;973.8773413379074;Line 78;0;257.007576047476
-23.426369545;-46.002441983;602.3;68430;360.51928816466545;973.7192881646655;Line 78;0;257.007576047476
-23.426428623;-46.002728546;605.2;68400;360.3612349914236;973.5612349914236;Line 78;0;257.007576047476
-23.426487701;-46.00301511;609.1;68370;360.20318181818175;973.4031818181818;Line 78;0;257.007576047476
-23.426546778;-46.003301674;613.1;68340;360.0451286449399;973.24512864494;Line 78;0;257.007576047476
-23.426605854;-46.003588239;616.0;68310;359.88707547169804;973.0870754716981;Line 78;0;257.007576047476
-23.42666493;-46.003874803;619.8;68280;359.7290222984562;972.9290222984562;Line 78;0;257.007576047476
-23.426724006;-46.004161368;622.8;68250;359.57096912521433;972.7709691252144;Line 78;0;257.007576047476
-23.42678308;-46.004447933;623.7;68220;359.4129159519725;972.6129159519726;Line 78;0;257.007576047476
