latitude;longitude;altitude (m);distance_m;alt_x;alt_y;name;obstrucao;angle
-23.518017304;-47.340993903;674.7;69960;306.0799999999999;981.78;Line 274;0;92.9831863210967
-23.518035806;-47.340700928;675.9;69930;305.9487478559176;981.6487478559177;Line 274;0;92.9831863210967
-23.518054307;-47.340407952;677.0;69900;305.8174957118353;981.5174957118354;Line 274;0;92.9831863210967
-23.518072807;-47.340114977;678.1;69870;305.6862435677529;981.3862435677529;Line 274;0;92.9831863210967
-23.518091307;-47.339822001;680.3;69840;305.55499142367063;981.2549914236706;Line 274;0;92.9831863210967
-23.518109807;-47.339529025;683.0;69810;305.42373927958823;981.1237392795883;Line 274;0;92.9831863210967
-23.518128306;-47.339236049;685.7;69780;305.29248713550595;980.992487135506;Line 274;0;92.9831863210967
-23.518146804;-47.338943072;688.5;69750;305.1612349914236;980.8612349914237;Line 274;0;92.9831863210967
-23.518165302;-47.338650096;691.5;69720;305.0299828473413;980.7299828473413;Line 274;0;92.9831863210967
-23.518183799;-47.338357119;694.4;69690;304.89873070325893;980.598730703259;Line 274;0;92.9831863210967
-23.518202296;-47.338064143;696.2;69660;304.7674785591766;980.4674785591767;Line 274;0;92.9831863210967
-23.518220793;-47.337771166;698.0;69630;304.63622641509426;980.3362264150943;Line 274;0;92.9831863210967
-23.518239288;-47.337478189;699.7;69600;304.504974271012;980.204974271012;Line 274;0;92.9831863210967
-23.518257783;-47.337185212;697.8;69570;304.3737221269296;980.0737221269296;Line 274;0;92.9831863210967
-23.518276278;-47.336892234;695.9;69540;304.2424699828473;979.9424699828473;Line 274;0;92.9831863210967
-23.518294772;-47.336599257;694.1;69510;304.1112178387649;979.811217838765;Line 274;0;92.9831863210967
-23.518313266;-47.33630628;692.2;69480;303.9799656946826;979.6799656946827;Line 274;0;92.9831863210967
-23.518331759;-47.336013302;690.3;69450;303.8487135506003;979.5487135506003;Line 274;0;92.9831863210967
-23.518350251;-47.335720324;690.4;69420;303.71746140651794;979.417461406518;Line 274;0;92.9831863210967
-23.518368743;-47.335427346;693.4;69390;303.5862092624356;979.2862092624357;Line 274;0;92.9831863210967
-23.518387234;-47.335134368;696.5;69360;303.45495711835326;979.1549571183533;Line 274;0;92.9831863210967
-23.518405725;-47.33484139;701.1;69330;303.3237049742709;979.0237049742709;Line 274;0;92.9831863210967
-23.518424215;-47.334548412;707.1;69300;303.19245283018864;978.8924528301886;Line 274;0;92.9831863210967
-23.518442705;-47.334255433;713.0;69270;303.06120068610625;978.7612006861063;Line 274;0;92.9831863210967
-23.518461194;-47.333962455;715.5;69240;302.92994854202396;978.6299485420241;Line 274;0;92.9831863210967
-23.518479683;-47.333669476;716.6;69210;302.79869639794157;978.4986963979416;Line 274;0;92.9831863210967
-23.518498171;-47.333376497;717.6;69180;302.6674442538593;978.3674442538593;Line 274;0;92.9831863210967
-23.518516658;-47.333083518;714.8;69150;302.53619210977695;978.236192109777;Line 274;0;92.9831863210967
-23.518535145;-47.332790539;711.3;69120;302.4049399656946;978.1049399656947;Line 274;0;92.9831863210967
-23.518553632;-47.33249756;708.0;69090;302.27368782161227;977.9736878216123;Line 274;0;92.9831863210967
-23.518572117;-47.332204581;708.5;69060;302.14243567752993;977.8424356775299;Line 274;0;92.9831863210967
-23.518590603;-47.331911601;709.0;69030;302.0111835334476;977.7111835334476;Line 274;0;92.9831863210967
-23.518609088;-47.331618621;710.1;69000;301.8799313893653;977.5799313893654;Line 274;0;92.9831863210967
-23.518627572;-47.331325642;715.2;68970;301.7486792452829;977.448679245283;Line 274;0;92.9831863210967
-23.518646055;-47.331032662;720.2;68940;301.61742710120063;977.3174271012007;Line 274;0;92.9831863210967
-23.518664539;-47.330739682;725.0;68910;301.48617495711824;977.1861749571183;Line 274;0;92.9831863210967
-23.518683021;-47.330446702;729.4;68880;301.35492281303596;977.054922813036;Line 274;0;92.9831863210967
-23.518701503;-47.330153721;733.9;68850;301.2236706689536;976.9236706689537;Line 274;0;92.9831863210967
-23.518719985;-47.329860741;739.2;68820;301.0924185248713;976.7924185248713;Line 274;0;92.9831863210967
-23.518738466;-47.32956776;745.3;68790;300.96116638078894;976.6611663807889;Line 274;0;92.9831863210967
-23.518756946;-47.32927478;751.3;68760;300.8299142367066;976.5299142367066;Line 274;0;92.9831863210967
-23.518775426;-47.328981799;755.9;68730;300.69866209262426;976.3986620926244;Line 274;0;92.9831863210967
-23.518793905;-47.328688818;759.7;68700;300.567409948542;976.2674099485421;Line 274;0;92.9831863210967
-23.518812384;-47.328395837;763.6;68670;300.4361578044596;976.1361578044596;Line 274;0;92.9831863210967
-23.518830862;-47.328102856;764.1;68640;300.3049056603773;976.0049056603773;Line 274;0;92.9831863210967
-23.51884934;-47.327809874;763.7;68610;300.1736535162949;975.873653516295;Line 274;0;92.9831863210967
-23.518867817;-47.327516893;763.3;68580;300.0424013722126;975.7424013722127;Line 274;0;92.9831863210967
-23.518886294;-47.327223911;761.3;68550;299.9111492281303;975.6111492281303;Line 274;0;92.9831863210967
-23.51890477;-47.326930929;759.4;68520;299.77989708404795;975.4798970840479;Line 274;0;92.9831863210967
-23.518923245;-47.326637947;757.4;68490;299.6486449399656;975.3486449399657;Line 274;0;92.9831863210967
-23.51894172;-47.326344965;755.3;68460;299.51739279588327;975.2173927958834;Line 274;0;92.9831863210967
-23.518960195;-47.326051983;753.2;68430;299.38614065180093;975.086140651801;Line 274;0;92.9831863210967
-23.518978669;-47.325759001;750.8;68400;299.25488850771865;974.9548885077187;Line 274;0;92.9831863210967
-23.518997142;-47.325466019;747.4;68370;299.12363636363625;974.8236363636363;Line 274;0;92.9831863210967
-23.519015615;-47.325173036;744.0;68340;298.99238421955397;974.692384219554;Line 274;0;92.9831863210967
-23.519034087;-47.324880053;740.4;68310;298.86113207547163;974.5611320754717;Line 274;0;92.9831863210967
-23.519052559;-47.32458707;736.5;68280;298.7298799313893;974.4298799313893;Line 274;0;92.9831863210967
-23.51907103;-47.324294087;732.6;68250;298.59862778730695;974.2986277873069;Line 274;0;92.9831863210967
-23.5190895;-47.324001104;731.0;68220;298.4673756432246;974.1673756432247;Line 274;0;92.9831863210967
-23.519107971;-47.323708121;731.1;68190;298.3361234991423;974.0361234991424;Line 274;0;92.9831863210967
-23.51912644;-47.323415138;731.3;68160;298.20487135505994;973.90487135506;Line 274;0;92.9831863210967
-23.519144909;-47.323122154;732.8;68130;298.07361921097765;973.7736192109777;Line 274;0;92.9831863210967
-23.519163377;-47.322829171;735.0;68100;297.9423670668953;973.6423670668953;Line 274;0;92.9831863210967
