latitude;longitude;altitude (m);distance_m;name;obstrucao;angle 
-22.927827925;-46.649261685;822.9;69960;Line 1;1;179.967954994711
-22.928098819;-46.649264802;821.3;69930;Line 1;1;179.967954994711
-22.928369714;-46.649267919;819.9;69900;Line 1;1;179.967954994711
-22.928640609;-46.649271036;819.9;69870;Line 1;1;179.967954994711
-22.928911503;-46.649274153;819.8;69840;Line 1;1;179.967954994711
-22.929182398;-46.64927727;819.8;69810;Line 1;1;179.967954994711
-22.929453293;-46.649280387;820.3;69780;Line 1;1;179.967954994711
-22.929724187;-46.649283505;820.9;69750;Line 1;1;179.967954994711
-22.929995082;-46.649286622;821.4;69720;Line 1;1;179.967954994711
-22.930265977;-46.649289739;819.0;69690;Line 1;1;179.967954994711
-22.930536871;-46.649292857;816.6;69660;Line 1;1;179.967954994711
-22.930807766;-46.649295974;814.2;69630;Line 1;1;179.967954994711
-22.931078661;-46.649299092;811.1;69600;Line 1;1;179.967954994711
-22.931349555;-46.649302209;808.0;69570;Line 1;1;179.967954994711
-22.93162045;-46.649305327;804.9;69540;Line 1;1;179.967954994711
-22.931891344;-46.649308444;803.0;69510;Line 1;1;179.967954994711
-22.932162239;-46.649311562;801.4;69480;Line 1;1;179.967954994711
-22.932433134;-46.64931468;799.8;69450;Line 1;1;179.967954994711
-22.932704028;-46.649317798;800.9;69420;Line 1;1;179.967954994711
-22.932974923;-46.649320915;802.9;69390;Line 1;1;179.967954994711
-22.933245817;-46.649324033;804.8;69360;Line 1;1;179.967954994711
-22.933516712;-46.649327151;807.9;69330;Line 1;1;179.967954994711
-22.933787606;-46.649330269;811.5;69300;Line 1;1;179.967954994711
-22.934058501;-46.649333387;815.1;69270;Line 1;1;179.967954994711
-22.934329395;-46.649336505;816.9;69240;Line 1;1;179.967954994711
-22.93460029;-46.649339624;817.3;69210;Line 1;1;179.967954994711
-22.934871184;-46.649342742;817.8;69180;Line 1;1;179.967954994711
-22.935142079;-46.64934586;818.8;69150;Line 1;1;179.967954994711
-22.935412973;-46.649348978;820.4;69120;Line 1;1;179.967954994711
-22.935683868;-46.649352097;822.0;69090;Line 1;1;179.967954994711
-22.935954762;-46.649355215;824.4;69060;Line 1;1;179.967954994711
-22.936225657;-46.649358333;827.7;69030;Line 1;1;179.967954994711
-22.936496551;-46.649361452;831.0;69000;Line 1;1;179.967954994711
-22.936767445;-46.64936457;834.0;68970;Line 1;1;179.967954994711
-22.93703834;-46.649367689;836.4;68940;Line 1;1;179.967954994711
-22.937309234;-46.649370808;838.8;68910;Line 1;1;179.967954994711
-22.937580129;-46.649373926;841.2;68880;Line 1;1;179.967954994711
-22.937851023;-46.649377045;843.3;68850;Line 1;1;179.967954994711
-22.938121917;-46.649380164;845.5;68820;Line 1;1;179.967954994711
-22.938392812;-46.649383283;847.6;68790;Line 1;1;179.967954994711
-22.938663706;-46.649386401;849.7;68760;Line 1;1;179.967954994711
-22.9389346;-46.64938952;851.8;68730;Line 1;1;179.967954994711
-22.939205495;-46.649392639;853.7;68700;Line 1;1;179.967954994711
-22.939476389;-46.649395758;854.4;68670;Line 1;1;179.967954994711
-22.939747283;-46.649398877;855.1;68640;Line 1;1;179.967954994711
-22.940018178;-46.649401996;855.6;68610;Line 1;1;179.967954994711
-22.940289072;-46.649405116;853.5;68580;Line 1;1;179.967954994711
-22.940559966;-46.649408235;851.5;68550;Line 1;1;179.967954994711
-22.94083086;-46.649411354;849.4;68520;Line 1;1;179.967954994711
-22.941101755;-46.649414473;843.9;68490;Line 1;1;179.967954994711
-22.941372649;-46.649417593;838.3;68460;Line 1;1;179.967954994711
-22.941643543;-46.649420712;832.7;68430;Line 1;1;179.967954994711
-22.941914437;-46.649423832;826.1;68400;Line 1;1;179.967954994711
-22.942185332;-46.649426951;819.4;68370;Line 1;1;179.967954994711
-22.942456226;-46.649430071;812.7;68340;Line 1;1;179.967954994711
-22.94272712;-46.64943319;805.5;68310;Line 1;1;179.967954994711
-22.942998014;-46.64943631;798.3;68280;Line 1;1;179.967954994711
-22.943268908;-46.64943943;791.0;68250;Line 1;0;179.967954994711
-22.943539803;-46.649442549;788.7;68220;Line 1;0;179.967954994711
-22.943810697;-46.649445669;787.8;68190;Line 1;0;179.967954994711
-22.944081591;-46.649448789;786.9;68160;Line 1;0;179.967954994711
-22.944352485;-46.649451909;789.0;68130;Line 1;0;179.967954994711
-22.944623379;-46.649455029;792.5;68100;Line 1;0;179.967954994711
-22.944894273;-46.649458149;795.9;68070;Line 1;0;179.967954994711
-22.945165167;-46.649461269;799.2;68040;Line 1;1;179.967954994711
-22.945436061;-46.649464389;802.4;68010;Line 1;1;179.967954994711
-22.945706956;-46.649467509;805.5;67980;Line 1;1;179.967954994711
-22.94597785;-46.649470629;808.5;67950;Line 1;1;179.967954994711
-22.946248744;-46.64947375;811.3;67920;Line 1;1;179.967954994711
-22.946519638;-46.64947687;814.1;67890;Line 1;1;179.967954994711
-22.946790532;-46.64947999;816.9;67860;Line 1;1;179.967954994711
-22.947061426;-46.649483111;819.7;67830;Line 1;1;179.967954994711
-22.94733232;-46.649486231;822.5;67800;Line 1;1;179.967954994711
-22.947603214;-46.649489352;825.1;67770;Line 1;1;179.967954994711
-22.947874108;-46.649492472;827.4;67740;Line 1;1;179.967954994711
-22.948145002;-46.649495593;829.6;67710;Line 1;1;179.967954994711
-22.948415896;-46.649498713;831.8;67680;Line 1;1;179.967954994711
-22.94868679;-46.649501834;833.7;67650;Line 1;1;179.967954994711
-22.948957684;-46.649504955;835.7;67620;Line 1;1;179.967954994711
-22.949228578;-46.649508076;836.8;67590;Line 1;1;179.967954994711
-22.949499472;-46.649511196;835.1;67560;Line 1;1;179.967954994711
-22.949770366;-46.649514317;833.5;67530;Line 1;1;179.967954994711
-22.95004126;-46.649517438;831.6;67500;Line 1;1;179.967954994711
-22.950312154;-46.649520559;828.7;67470;Line 1;1;179.967954994711
-22.950583048;-46.64952368;825.8;67440;Line 1;1;179.967954994711
-22.950853942;-46.649526801;822.8;67410;Line 1;1;179.967954994711
-22.951124835;-46.649529922;818.4;67380;Line 1;1;179.967954994711
-22.951395729;-46.649533044;814.0;67350;Line 1;1;179.967954994711
-22.951666623;-46.649536165;809.6;67320;Line 1;1;179.967954994711
-22.951937517;-46.649539286;806.1;67290;Line 1;1;179.967954994711
-22.952208411;-46.649542407;802.6;67260;Line 1;1;179.967954994711
-22.952479305;-46.649545529;799.1;67230;Line 1;0;179.967954994711
-22.952750199;-46.64954865;799.8;67200;Line 1;0;179.967954994711
-22.953021093;-46.649551772;800.8;67170;Line 1;1;179.967954994711
-22.953291986;-46.649554893;801.9;67140;Line 1;1;179.967954994711
-22.95356288;-46.649558015;806.0;67110;Line 1;1;179.967954994711
-22.953833774;-46.649561136;810.6;67080;Line 1;1;179.967954994711
-22.954104668;-46.649564258;815.3;67050;Line 1;1;179.967954994711
-22.954375562;-46.64956738;818.4;67020;Line 1;1;179.967954994711
-22.954646455;-46.649570502;821.1;66990;Line 1;1;179.967954994711
-22.954917349;-46.649573623;823.7;66960;Line 1;1;179.967954994711
-22.955188243;-46.649576745;826.6;66930;Line 1;1;179.967954994711
-22.955459137;-46.649579867;829.7;66900;Line 1;1;179.967954994711
-22.95573003;-46.649582989;832.8;66870;Line 1;1;179.967954994711
-22.956000924;-46.649586111;834.8;66840;Line 1;1;179.967954994711
-22.956271818;-46.649589233;836.1;66810;Line 1;1;179.967954994711
-22.956542712;-46.649592355;837.3;66780;Line 1;1;179.967954994711
-22.956813605;-46.649595477;837.7;66750;Line 1;1;179.967954994711
-22.957084499;-46.6495986;837.3;66720;Line 1;1;179.967954994711
-22.957355393;-46.649601722;837.0;66690;Line 1;1;179.967954994711
-22.957626286;-46.649604844;836.7;66660;Line 1;1;179.967954994711
-22.95789718;-46.649607967;836.6;66630;Line 1;1;179.967954994711
-22.958168074;-46.649611089;836.6;66600;Line 1;1;179.967954994711
-22.958438967;-46.649614211;836.3;66570;Line 1;1;179.967954994711
-22.958709861;-46.649617334;835.9;66540;Line 1;1;179.967954994711
-22.958980754;-46.649620456;835.5;66510;Line 1;1;179.967954994711
