latitude;longitude;altitude (m);distance_m;name;obstrucao;angle
-24.045729955;-47.096338193;652.3;69960;Line 220;0;39.0153437635708
-24.045522104;-47.096149155;652.5;69930;Line 220;0;39.0153437635708
-24.045314253;-47.095960116;655.1;69900;Line 220;0;39.0153437635708
-24.045106401;-47.095771079;661.3;69870;Line 220;0;39.0153437635708
-24.044898549;-47.095582041;665.5;69840;Line 220;0;39.0153437635708
-24.044690696;-47.095393005;663.9;69810;Line 220;0;39.0153437635708
-24.044482843;-47.095203969;660.4;69780;Line 220;0;39.0153437635708
-24.04427499;-47.095014934;655.2;69750;Line 220;0;39.0153437635708
-24.044067137;-47.094825899;656.5;69720;Line 220;0;39.0153437635708
-24.043859284;-47.094636865;658.4;69690;Line 220;0;39.0153437635708
-24.04365143;-47.094447832;659.8;69660;Line 220;0;39.0153437635708
-24.043443576;-47.094258799;660.8;69630;Line 220;0;39.0153437635708
-24.043235721;-47.094069767;657.9;69600;Line 220;0;39.0153437635708
-24.043027867;-47.093880736;652.9;69570;Line 220;0;39.0153437635708
-24.042820012;-47.093691705;650.0;69540;Line 220;0;39.0153437635708
-24.042612156;-47.093502674;649.3;69510;Line 220;0;39.0153437635708
-24.042404301;-47.093313645;650.1;69480;Line 220;0;39.0153437635708
-24.042196445;-47.093124616;647.3;69450;Line 220;0;39.0153437635708
-24.041988589;-47.092935587;645.0;69420;Line 220;0;39.0153437635708
-24.041780733;-47.092746559;643.2;69390;Line 220;0;39.0153437635708
-24.041572876;-47.092557532;644.8;69360;Line 220;0;39.0153437635708
-24.041365019;-47.092368506;652.1;69330;Line 220;0;39.0153437635708
-24.041157162;-47.09217948;659.1;69300;Line 220;0;39.0153437635708
-24.040949304;-47.091990454;664.8;69270;Line 220;0;39.0153437635708
-24.040741447;-47.09180143;671.0;69240;Line 220;0;39.0153437635708
-24.040533589;-47.091612406;680.2;69210;Line 220;0;39.0153437635708
-24.04032573;-47.091423382;692.8;69180;Line 220;0;39.0153437635708
-24.040117872;-47.091234359;704.5;69150;Line 220;0;39.0153437635708
-24.039910013;-47.091045337;713.7;69120;Line 220;0;39.0153437635708
-24.039702154;-47.090856315;718.4;69090;Line 220;0;39.0153437635708
-24.039494294;-47.090667294;715.5;69060;Line 220;0;39.0153437635708
-24.039286434;-47.090478274;710.9;69030;Line 220;0;39.0153437635708
-24.039078574;-47.090289254;703.6;69000;Line 220;0;39.0153437635708
-24.038870714;-47.090100235;693.9;68970;Line 220;0;39.0153437635708
-24.038662853;-47.089911216;688.6;68940;Line 220;0;39.0153437635708
-24.038454993;-47.089722199;690.7;68910;Line 220;0;39.0153437635708
-24.038247131;-47.089533181;697.1;68880;Line 220;0;39.0153437635708
-24.03803927;-47.089344165;707.1;68850;Line 220;0;39.0153437635708
-24.037831408;-47.089155148;718.6;68820;Line 220;0;39.0153437635708
-24.037623546;-47.088966133;723.9;68790;Line 220;0;39.0153437635708
-24.037415684;-47.088777118;726.6;68760;Line 220;0;39.0153437635708
-24.037207822;-47.088588104;726.5;68730;Line 220;0;39.0153437635708
-24.036999959;-47.08839909;724.8;68700;Line 220;0;39.0153437635708
-24.036792096;-47.088210077;717.9;68670;Line 220;0;39.0153437635708
-24.036584232;-47.088021065;709.6;68640;Line 220;0;39.0153437635708
-24.036376369;-47.087832053;703.7;68610;Line 220;0;39.0153437635708
-24.036168505;-47.087643042;699.8;68580;Line 220;0;39.0153437635708
-24.03596064;-47.087454031;699.9;68550;Line 220;0;39.0153437635708
-24.035752776;-47.087265022;707.9;68520;Line 220;0;39.0153437635708
-24.035544911;-47.087076012;717.3;68490;Line 220;0;39.0153437635708
-24.035337046;-47.086887004;728.1;68460;Line 220;0;39.0153437635708
-24.035129181;-47.086697996;740.4;68430;Line 220;0;39.0153437635708
-24.034921315;-47.086508988;751.1;68400;Line 220;0;39.0153437635708
-24.034713449;-47.086319981;757.6;68370;Line 220;0;39.0153437635708
-24.034505583;-47.086130975;762.3;68340;Line 220;0;39.0153437635708
-24.034297717;-47.085941969;765.3;68310;Line 220;0;39.0153437635708
-24.03408985;-47.085752965;762.0;68280;Line 220;0;39.0153437635708
-24.033881983;-47.08556396;752.4;68250;Line 220;0;39.0153437635708
-24.033674115;-47.085374956;743.5;68220;Line 220;0;39.0153437635708
-24.033466248;-47.085185953;735.2;68190;Line 220;0;39.0153437635708
-24.03325838;-47.084996951;731.6;68160;Line 220;0;39.0153437635708
-24.033050512;-47.084807949;737.4;68130;Line 220;0;39.0153437635708
-24.032842643;-47.084618948;741.3;68100;Line 220;0;39.0153437635708
-24.032634775;-47.084429947;743.5;68070;Line 220;0;39.0153437635708
-24.032426906;-47.084240947;742.4;68040;Line 220;0;39.0153437635708
-24.032219036;-47.084051948;739.5;68010;Line 220;0;39.0153437635708
-24.032011167;-47.083862949;738.2;67980;Line 220;0;39.0153437635708
-24.031803297;-47.083673951;737.6;67950;Line 220;0;39.0153437635708
-24.031595427;-47.083484953;738.3;67920;Line 220;0;39.0153437635708
-24.031387557;-47.083295956;743.3;67890;Line 220;0;39.0153437635708
-24.031179686;-47.08310696;752.9;67860;Line 220;0;39.0153437635708
-24.030971815;-47.082917964;761.6;67830;Line 220;0;39.0153437635708
-24.030763944;-47.082728969;768.8;67800;Line 220;0;39.0153437635708
-24.030556072;-47.082539974;773.4;67770;Line 220;0;39.0153437635708
-24.0303482;-47.082350981;771.0;67740;Line 220;0;39.0153437635708
-24.030140328;-47.082161987;766.8;67710;Line 220;0;39.0153437635708
-24.029932456;-47.081972995;763.2;67680;Line 220;0;39.0153437635708
-24.029724583;-47.081784003;761.2;67650;Line 220;0;39.0153437635708
-24.02951671;-47.081595011;761.1;67620;Line 220;0;39.0153437635708
-24.029308837;-47.08140602;762.3;67590;Line 220;0;39.0153437635708
-24.029100964;-47.08121703;760.1;67560;Line 220;0;39.0153437635708
-24.02889309;-47.081028041;751.0;67530;Line 220;0;39.0153437635708
-24.028685216;-47.080839052;740.3;67500;Line 220;0;39.0153437635708
-24.028477341;-47.080650064;729.2;67470;Line 220;0;39.0153437635708
-24.028269467;-47.080461076;722.2;67440;Line 220;0;39.0153437635708
-24.028061592;-47.080272089;720.2;67410;Line 220;0;39.0153437635708
-24.027853717;-47.080083102;717.6;67380;Line 220;0;39.0153437635708
-24.027645841;-47.079894116;717.9;67350;Line 220;0;39.0153437635708
-24.027437966;-47.079705131;723.1;67320;Line 220;0;39.0153437635708
-24.02723009;-47.079516147;729.5;67290;Line 220;0;39.0153437635708
-24.027022213;-47.079327163;736.3;67260;Line 220;0;39.0153437635708
-24.026814337;-47.079138179;743.0;67230;Line 220;0;39.0153437635708
-24.02660646;-47.078949197;745.4;67200;Line 220;0;39.0153437635708
-24.026398583;-47.078760214;745.5;67170;Line 220;0;39.0153437635708
-24.026190705;-47.078571233;746.3;67140;Line 220;0;39.0153437635708
-24.025982828;-47.078382252;747.9;67110;Line 220;0;39.0153437635708
-24.02577495;-47.078193272;752.4;67080;Line 220;0;39.0153437635708
-24.025567071;-47.078004292;760.0;67050;Line 220;0;39.0153437635708
-24.025359193;-47.077815313;767.5;67020;Line 220;0;39.0153437635708
-24.025151314;-47.077626334;774.9;66990;Line 220;0;39.0153437635708
-24.024943435;-47.077437357;779.8;66960;Line 220;0;39.0153437635708
-24.024735556;-47.077248379;778.2;66930;Line 220;0;39.0153437635708
-24.024527676;-47.077059403;774.7;66900;Line 220;0;39.0153437635708
-24.024319796;-47.076870427;769.2;66870;Line 220;0;39.0153437635708
-24.024111916;-47.076681451;762.1;66840;Line 220;0;39.0153437635708
-24.023904035;-47.076492477;757.3;66810;Line 220;0;39.0153437635708
-24.023696155;-47.076303503;754.4;66780;Line 220;0;39.0153437635708
-24.023488274;-47.076114529;753.3;66750;Line 220;0;39.0153437635708
-24.023280392;-47.075925556;753.8;66720;Line 220;0;39.0153437635708
-24.023072511;-47.075736584;756.7;66690;Line 220;0;39.0153437635708
-24.022864629;-47.075547612;760.0;66660;Line 220;0;39.0153437635708
-24.022656747;-47.075358641;760.8;66630;Line 220;0;39.0153437635708
-24.022448864;-47.075169671;758.8;66600;Line 220;0;39.0153437635708
-24.022240981;-47.074980701;755.0;66570;Line 220;0;39.0153437635708
-24.022033098;-47.074791732;750.5;66540;Line 220;0;39.0153437635708
-24.021825215;-47.074602763;745.8;66510;Line 220;0;39.0153437635708
-24.021617331;-47.074413795;743.4;66480;Line 220;0;39.0153437635708
-24.021409448;-47.074224828;749.5;66450;Line 220;0;39.0153437635708
-24.021201563;-47.074035861;754.0;66420;Line 220;0;39.0153437635708
-24.020993679;-47.073846895;756.7;66390;Line 220;0;39.0153437635708
-24.020785794;-47.07365793;758.4;66360;Line 220;0;39.0153437635708
-24.020577909;-47.073468965;760.9;66330;Line 220;0;39.0153437635708
-24.020370024;-47.07328;764.1;66300;Line 220;0;39.0153437635708
-24.020162139;-47.073091037;767.5;66270;Line 220;0;39.0153437635708
-24.019954253;-47.072902074;769.2;66240;Line 220;0;39.0153437635708
-24.019746367;-47.072713111;767.1;66210;Line 220;0;39.0153437635708
-24.01953848;-47.07252415;767.6;66180;Line 220;0;39.0153437635708
-24.019330594;-47.072335188;766.0;66150;Line 220;0;39.0153437635708
-24.019122707;-47.072146228;763.0;66120;Line 220;0;39.0153437635708
-24.018914819;-47.071957268;758.4;66090;Line 220;0;39.0153437635708
-24.018706932;-47.071768309;755.0;66060;Line 220;0;39.0153437635708
-24.018499044;-47.07157935;751.2;66030;Line 220;0;39.0153437635708
-24.018291156;-47.071390392;745.0;66000;Line 220;0;39.0153437635708
-24.018083268;-47.071201434;740.1;65970;Line 220;0;39.0153437635708
-24.017875379;-47.071012477;738.5;65940;Line 220;0;39.0153437635708
-24.01766749;-47.070823521;740.1;65910;Line 220;0;39.0153437635708
-24.017459601;-47.070634566;742.3;65880;Line 220;0;39.0153437635708
-24.017251712;-47.070445611;741.1;65850;Line 220;0;39.0153437635708
-24.017043822;-47.070256656;739.5;65820;Line 220;0;39.0153437635708
-24.016835932;-47.070067702;737.6;65790;Line 220;0;39.0153437635708
-24.016628042;-47.069878749;733.1;65760;Line 220;0;39.0153437635708
-24.016420151;-47.069689797;724.3;65730;Line 220;0;39.0153437635708
-24.01621226;-47.069500845;717.5;65700;Line 220;0;39.0153437635708
-24.016004369;-47.069311893;712.6;65670;Line 220;0;39.0153437635708
-24.015796478;-47.069122943;711.6;65640;Line 220;0;39.0153437635708
-24.015588586;-47.068933993;721.0;65610;Line 220;0;39.0153437635708
-24.015380694;-47.068745043;730.9;65580;Line 220;0;39.0153437635708
-24.015172802;-47.068556094;741.3;65550;Line 220;0;39.0153437635708
-24.014964909;-47.068367146;750.9;65520;Line 220;0;39.0153437635708
-24.014757016;-47.068178199;748.6;65490;Line 220;0;39.0153437635708
-24.014549123;-47.067989252;745.7;65460;Line 220;0;39.0153437635708
-24.01434123;-47.067800305;743.2;65430;Line 220;0;39.0153437635708
-24.014133336;-47.067611359;740.1;65400;Line 220;0;39.0153437635708
-24.013925442;-47.067422414;730.6;65370;Line 220;0;39.0153437635708
-24.013717548;-47.06723347;721.1;65340;Line 220;0;39.0153437635708
-24.013509653;-47.067044526;713.0;65310;Line 220;0;39.0153437635708
-24.013301759;-47.066855582;707.7;65280;Line 220;0;39.0153437635708
-24.013093864;-47.06666664;710.6;65250;Line 220;0;39.0153437635708
-24.012885968;-47.066477698;713.6;65220;Line 220;0;39.0153437635708
-24.012678073;-47.066288756;716.1;65190;Line 220;0;39.0153437635708
-24.012470177;-47.066099815;718.2;65160;Line 220;0;39.0153437635708
-24.012262281;-47.065910875;719.4;65130;Line 220;0;39.0153437635708
-24.012054384;-47.065721936;718.9;65100;Line 220;0;39.0153437635708
-24.011846487;-47.065532997;717.3;65070;Line 220;0;39.0153437635708
-24.01163859;-47.065344058;715.0;65040;Line 220;0;39.0153437635708
-24.011430693;-47.06515512;712.1;65010;Line 220;0;39.0153437635708
-24.011222795;-47.064966183;711.5;64980;Line 220;0;39.0153437635708
-24.011014898;-47.064777247;712.3;64950;Line 220;0;39.0153437635708
-24.010806999;-47.064588311;712.4;64920;Line 220;0;39.0153437635708
-24.010599101;-47.064399376;712.0;64890;Line 220;0;39.0153437635708
-24.010391202;-47.064210441;711.6;64860;Line 220;0;39.0153437635708
-24.010183303;-47.064021507;710.8;64830;Line 220;0;39.0153437635708
-24.009975404;-47.063832573;707.6;64800;Line 220;0;39.0153437635708
-24.009767505;-47.063643641;700.8;64770;Line 220;0;39.0153437635708
-24.009559605;-47.063454708;695.6;64740;Line 220;0;39.0153437635708
-24.009351705;-47.063265777;693.1;64710;Line 220;0;39.0153437635708
-24.009143804;-47.063076846;692.7;64680;Line 220;0;39.0153437635708
-24.008935904;-47.062887916;695.7;64650;Line 220;0;39.0153437635708
-24.008728003;-47.062698986;696.9;64620;Line 220;0;39.0153437635708
-24.008520101;-47.062510057;696.2;64590;Line 220;0;39.0153437635708
-24.0083122;-47.062321128;699.3;64560;Line 220;0;39.0153437635708
