latitude;longitude;altitude (m);distance_m;name;obstrucao;angle
-22.927827925;-46.649261685;822.9;69960;Line 1;1;179.967954994711
-22.964421224;-46.427440433;845.0;69960;Line 20;1;198.974635869953
-23.072596971;-46.221029296;884.8;69960;Line 40;1;218.9846394605
-23.239433027;-46.066656934;669.4;69960;Line 60;0;238.996498630329
-23.444972274;-45.98301529;671.0;69960;Line 80;0;259.008780489599
-23.664527004;-45.980489426;931.5;69960;Line 100;0;279.020002481324
-23.871605704;-46.059773897;0.0;69960;Line 120;0;299.02880707257
-24.041107786;-46.211606786;0.0;69960;Line 140;0;319.034134650231
-24.152406164;-46.417738323;0.0;69960;Line 160;0;339.035342405573
-24.191923276;-46.653094409;0.0;69960;Line 180;0;359.032288077501
-24.154845795;-46.888899797;15.4;69960;Line 200;0;19.0253423450732
-24.045729955;-47.096338193;652.3;69960;Line 220;0;39.0153437635708
-23.877909949;-47.250211151;692.2;69960;Line 240;0;59.0034973616609
-23.671803251;-47.332060691;974.7;69960;Line 260;0;78.9912294971225
-23.452362973;-47.332340228;672.4;69960;Line 280;0;98.9800186780442
-23.246027086;-47.251405982;586.8;69960;Line 300;0;118.971213104057
-23.077548719;-47.099291776;720.9;69960;Line 320;1;138.965877201147
-22.967075981;-46.894379305;762.7;69960;Line 340;1;158.96465432607
