latitude;longitude;altitude (m);distance_m;name;obstrucao;angle
-22.936496551;-46.649361452;831.0;69000;Line 1;1;179.967954994711
-22.963585945;-46.649673547;808.0;66000;Line 1;1;179.967954994711
-22.990675242;-46.649986134;774.2;63000;Line 1;0;179.967954994711
-23.017764442;-46.650299212;841.2;60000;Line 1;1;179.967954994711
-23.044853546;-46.650612783;803.8;57000;Line 1;0;179.967954994711
-23.071942553;-46.650926846;746.4;54000;Line 1;0;179.967954994711
-23.099031464;-46.651241401;830.8;51000;Line 1;0;179.967954994711
-23.126120277;-46.65155645;826.4;48000;Line 1;0;179.967954994711
-23.153208993;-46.651871993;889.8;45000;Line 1;1;179.967954994711
-23.180297612;-46.65218803;806.0;42000;Line 1;0;179.967954994711
-23.207386134;-46.652504562;888.1;39000;Line 1;1;179.967954994711
-23.234474558;-46.652821589;892.8;36000;Line 1;1;179.967954994711
-23.261562886;-46.653139112;944.1;33000;Line 1;1;179.967954994711
-23.288651115;-46.65345713;820.9;30000;Line 1;0;179.967954994711
-23.315739247;-46.653775645;932.6;27000;Line 1;1;179.967954994711
-23.342827281;-46.654094656;763.7;24000;Line 1;0;179.967954994711
-23.369915218;-46.654414165;797.8;21000;Line 1;0;179.967954994711
-23.397003057;-46.654734172;868.6;18000;Line 1;0;179.967954994711
-23.424090797;-46.655054676;940.6;15000;Line 1;1;179.967954994711
-23.45117844;-46.65537568;807.8;12000;Line 1;0;179.967954994711
-23.478265985;-46.655697182;756.6;9000;Line 1;0;179.967954994711
-23.505353431;-46.656019184;763.5;6000;Line 1;0;179.967954994711
-23.532440779;-46.656341686;752.7;3000;Line 1;0;179.967954994711
-22.972592142;-46.430570815;845.0;69000;Line 20;1;198.974635869953
-22.998125689;-46.440355849;855.6;66000;Line 20;1;198.974635869953
-23.023658365;-46.450144815;865.7;63000;Line 20;1;198.974635869953
-23.049190166;-46.459937721;877.4;60000;Line 20;1;198.974635869953
-23.074721092;-46.469734573;804.7;57000;Line 20;1;198.974635869953
-23.100251138;-46.479535381;856.0;54000;Line 20;1;198.974635869953
-23.125780304;-46.489340151;825.8;51000;Line 20;1;198.974635869953
-23.151308587;-46.499148891;1061.9;48000;Line 20;1;198.974635869953
-23.176835985;-46.508961609;1306.4;45000;Line 20;1;198.974635869953
-23.202362495;-46.518778312;1117.5;42000;Line 20;1;198.974635869953
-23.227888115;-46.528599008;1101.1;39000;Line 20;1;198.974635869953
-23.253412842;-46.538423705;975.7;36000;Line 20;1;198.974635869953
-23.278936675;-46.548252411;958.3;33000;Line 20;1;198.974635869953
-23.30445961;-46.558085132;798.5;30000;Line 20;1;198.974635869953
-23.329981647;-46.567921877;844.4;27000;Line 20;1;198.974635869953
-23.355502781;-46.577762654;920.9;24000;Line 20;1;198.974635869953
-23.381023012;-46.58760747;1059.1;21000;Line 20;1;198.974635869953
-23.406542336;-46.597456333;899.1;18000;Line 20;1;198.974635869953
-23.432060752;-46.60730925;857.1;15000;Line 20;0;198.974635869953
-23.457578257;-46.61716623;763.9;12000;Line 20;0;198.974635869953
-23.483094848;-46.62702728;774.0;9000;Line 20;0;198.974635869953
-23.508610524;-46.636892408;725.4;6000;Line 20;0;198.974635869953
-23.534125282;-46.646761622;753.4;3000;Line 20;0;198.974635869953
-23.07929064;-46.226985481;880.5;69000;Line 40;1;218.9846394605
-23.100206708;-46.245602396;866.1;66000;Line 40;1;218.9846394605
-23.121120273;-46.264225131;939.4;63000;Line 40;1;218.9846394605
-23.142031329;-46.282853696;1154.0;60000;Line 40;1;218.9846394605
-23.162939869;-46.301488096;841.1;57000;Line 40;1;218.9846394605
-23.183845886;-46.320128341;824.6;54000;Line 40;1;218.9846394605
-23.204749374;-46.338774438;854.1;51000;Line 40;1;218.9846394605
-23.225650327;-46.357426394;986.6;48000;Line 40;1;218.9846394605
-23.246548737;-46.376084218;802.4;45000;Line 40;1;218.9846394605
-23.267444597;-46.394747916;909.1;42000;Line 40;1;218.9846394605
-23.288337902;-46.413417498;1197.8;39000;Line 40;0;218.9846394605
-23.309228644;-46.43209297;868.5;36000;Line 40;0;218.9846394605
-23.330116817;-46.450774341;890.7;33000;Line 40;0;218.9846394605
-23.351002414;-46.469461618;920.0;30000;Line 40;0;218.9846394605
-23.371885428;-46.488154808;887.7;27000;Line 40;0;218.9846394605
-23.392765853;-46.506853921;846.1;24000;Line 40;0;218.9846394605
-23.413643682;-46.525558963;854.0;21000;Line 40;0;218.9846394605
-23.434518908;-46.544269942;789.7;18000;Line 40;0;218.9846394605
-23.455391525;-46.562986867;764.5;15000;Line 40;0;218.9846394605
-23.476261526;-46.581709744;744.5;12000;Line 40;0;218.9846394605
-23.497128905;-46.600438583;765.2;9000;Line 40;0;218.9846394605
-23.517993653;-46.619173389;725.0;6000;Line 40;0;218.9846394605
-23.538855766;-46.637914172;754.3;3000;Line 40;0;218.9846394605
-23.243844219;-46.074734811;710.5;69000;Line 60;0;238.996498630329
-23.257626371;-46.099981524;719.7;66000;Line 60;0;238.996498630329
-23.271404241;-46.125233311;681.5;63000;Line 60;0;238.996498630329
-23.28517782;-46.150490172;681.7;60000;Line 60;0;238.996498630329
